states,value,probable_moves
000010200,0.5,"{'state': ['100010200', '010010200', '001010200', '000110200', '000011200', '000010210', '000010201'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 1), (2, 2)]}"
000010201,0.5,"{'state': ['100010201', '010010201', '001010201', '000110201', '000011201', '000010211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 1)]}"
000010202,0.5,"{'state': ['100010202', '010010202', '001010202', '000110202', '000011202', '000010212'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 1)]}"
000010210,0.5,"{'state': ['100010210', '010010210', '001010210', '000110210', '000011210', '000010211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 2)]}"
000010211,0.5,"{'state': ['100010211', '010010211', '001010211', '000110211', '000011211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2)]}"
000010212,0.5,"{'state': ['100010212', '010010212', '001010212', '000110212', '000011212'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2)]}"
000010220,0.5,"{'state': ['100010220', '010010220', '001010220', '000110220', '000011220', '000010221'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2), (2, 2)]}"
000010221,0.75,"{'state': ['100010221', '010010221', '001010221', '000110221', '000011221'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2)]}"
000010222,0.5,"{'state': ['100010222', '010010222', '001010222', '000110222', '000011222'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (1, 2)]}"
000011000,0.5,"{'state': ['100011000', '010011000', '001011000', '000111000', '000011100', '000011010', '000011001'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0), (2, 1), (2, 2)]}"
000011001,0.5,"{'state': ['100011001', '010011001', '001011001', '000111001', '000011101', '000011011'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0), (2, 1)]}"
000011002,0.5,"{'state': ['100011002', '010011002', '001011002', '000111002', '000011102', '000011012'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0), (2, 1)]}"
000011010,0.5,"{'state': ['100011010', '010011010', '001011010', '000111010', '000011110', '000011011'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0), (2, 2)]}"
000011011,0.5,"{'state': ['100011011', '010011011', '001011011', '000111011', '000011111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0)]}"
000011012,0.5,"{'state': ['100011012', '010011012', '001011012', '000111012', '000011112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0)]}"
000011020,0.5,"{'state': ['100011020', '010011020', '001011020', '000111020', '000011120', '000011021'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0), (2, 2)]}"
000011021,0.5,"{'state': ['100011021', '010011021', '001011021', '000111021', '000011121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0)]}"
000011022,0.5,"{'state': ['100011022', '010011022', '001011022', '000111022', '000011122'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0)]}"
000011100,0.5,"{'state': ['100011100', '010011100', '001011100', '000111100', '000011110', '000011101'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 1), (2, 2)]}"
000011101,0.5,"{'state': ['100011101', '010011101', '001011101', '000111101', '000011111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 1)]}"
000011102,0.5,"{'state': ['100011102', '010011102', '001011102', '000111102', '000011112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 1)]}"
000011110,0.5,"{'state': ['100011110', '010011110', '001011110', '000111110', '000011111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 2)]}"
000011111,1.0,"{'state': ['100011111', '010011111', '001011111', '000111111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0)]}"
000011112,0.5,"{'state': ['100011112', '010011112', '001011112', '000111112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0)]}"
000011120,0.5,"{'state': ['100011120', '010011120', '001011120', '000111120', '000011121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 2)]}"
000011121,0.5,"{'state': ['100011121', '010011121', '001011121', '000111121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0)]}"
000011122,0.5,"{'state': ['100011122', '010011122', '001011122', '000111122'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0)]}"
000011200,0.5,"{'state': ['100011200', '010011200', '001011200', '000111200', '000011210', '000011201'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 1), (2, 2)]}"
000011201,0.5,"{'state': ['100011201', '010011201', '001011201', '000111201', '000011211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 1)]}"
000011202,0.5,"{'state': ['100011202', '010011202', '001011202', '000111202', '000011212'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 1)]}"
000011210,0.5,"{'state': ['100011210', '010011210', '001011210', '000111210', '000011211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 2)]}"
000011211,0.5,"{'state': ['100011211', '010011211', '001011211', '000111211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0)]}"
000011212,0.5,"{'state': ['100011212', '010011212', '001011212', '000111212'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0)]}"
000011220,0.5,"{'state': ['100011220', '010011220', '001011220', '000111220', '000011221'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 2)]}"
000011221,0.5,"{'state': ['100011221', '010011221', '001011221', '000111221'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0)]}"
000011222,0.5,"{'state': ['100011222', '010011222', '001011222', '000111222'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0)]}"
000012000,0.5,"{'state': ['100012000', '010012000', '001012000', '000112000', '000012100', '000012010', '000012001'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0), (2, 1), (2, 2)]}"
000012001,0.5,"{'state': ['100012001', '010012001', '001012001', '000112001', '000012101', '000012011'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0), (2, 1)]}"
000012002,0.5,"{'state': ['100012002', '010012002', '001012002', '000112002', '000012102', '000012012'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0), (2, 1)]}"
000012010,0.5,"{'state': ['100012010', '010012010', '001012010', '000112010', '000012110', '000012011'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0), (2, 2)]}"
000012011,0.5,"{'state': ['100012011', '010012011', '001012011', '000112011', '000012111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0)]}"
000012012,0.5,"{'state': ['100012012', '010012012', '001012012', '000112012', '000012112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0)]}"
000012020,0.5,"{'state': ['100012020', '010012020', '001012020', '000112020', '000012120', '000012021'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0), (2, 2)]}"
000012021,0.5,"{'state': ['100012021', '010012021', '001012021', '000112021', '000012121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0)]}"
000012022,0.5,"{'state': ['100012022', '010012022', '001012022', '000112022', '000012122'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 0)]}"
000012100,0.5,"{'state': ['100012100', '010012100', '001012100', '000112100', '000012110', '000012101'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 1), (2, 2)]}"
000012101,0.5,"{'state': ['100012101', '010012101', '001012101', '000112101', '000012111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 1)]}"
000012102,0.5,"{'state': ['100012102', '010012102', '001012102', '000112102', '000012112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 1)]}"
000012110,0.5,"{'state': ['100012110', '010012110', '001012110', '000112110', '000012111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 2)]}"
000012111,1.0,"{'state': ['100012111', '010012111', '001012111', '000112111'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0)]}"
000012112,0.5,"{'state': ['100012112', '010012112', '001012112', '000112112'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0)]}"
000012120,0.5,"{'state': ['100012120', '010012120', '001012120', '000112120', '000012121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 2)]}"
000012121,0.5,"{'state': ['100012121', '010012121', '001012121', '000112121'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0)]}"
000012122,0.5,"{'state': ['100012122', '010012122', '001012122', '000112122'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0)]}"
000012200,0.5,"{'state': ['100012200', '010012200', '001012200', '000112200', '000012210', '000012201'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 1), (2, 2)]}"
000012201,0.5,"{'state': ['100012201', '010012201', '001012201', '000112201', '000012211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 1)]}"
000012202,0.5,"{'state': ['100012202', '010012202', '001012202', '000112202', '000012212'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 1)]}"
000012210,0.5,"{'state': ['100012210', '010012210', '001012210', '000112210', '000012211'], 'move': [(0, 0), (0, 1), (0, 2), (1, 0), (2, 2)]}"
